codigo_comuna,nombre_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k
13401,San Bernardo,306371,284663,19544,6.38,34.0,33.0,11.6,12.24,60.81,71.16,45.28,2172,1129,149,894,"PAROTIDITIS, SIN COMPLICACIONES, no aplica, TOS FERINA, NO ESPECIFICADA",70.89443844228076,44506,42580,1926,4.33,6.01,6.04,5.52,1.47,2.35,"EMBARAZO, PARTO Y PUERPERIO, ENFERMEDADES DEL APARATO DIGESTIVO, LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS",1452.68
13403,Calera de Tango,25491,24430,898,3.52,37.0,35.0,11.97,12.04,60.39,72.7,45.97,84,62,11,11,"no aplica, PAROTIDITIS, SIN COMPLICACIONES, HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA",32.952806873014005,1539,1502,37,2.4,7.22,7.24,6.43,1.75,2.6,"LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS, ENFERMEDADES DEL APARATO RESPIRATORIO, ENFERMEDADES DEL APARATO DIGESTIVO",603.74
13111,La Granja,112022,101705,9550,8.525111138883434,39.0,32.0,10.85673384925022,12.150498640072527,59.35718379536063,72.13942914877495,49.86421223026395,943,454,108,381,VIH | Parotiditis | Coqueluche,84.17989323525737,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645
13118,Macul,123800,105336,17497,14.133279483037157,39.0,35.0,13.33633394303632,14.598976488911964,69.14035980991174,81.18907043800631,44.13281641111615,890,405,110,375,VIH | Parotiditis | Coqueluche,71.89014539579968,13343,12128,1215,9.105898223787753,5.520947313197931,5.670679419525066,4.026337448559671,1.5699617777111594,3.440005995653152,Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1077.7867528271406
13131,San Ramón,76002,69248,6214,8.176100628930818,40.0,32.0,10.520866973046829,11.916823308270676,60.3259789306301,73.8268211270371,49.66916108704214,687,359,54,274,VIH | Parotiditis | Coqueluche,90.39235809583958,11743,10986,757,6.446393596184961,4.966448096738483,5.019843437101766,4.191545574636724,1.4538022651792557,2.214084986800647,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59),1545.0909186600354
13605,Peñaflor,94402,90616,3235,3.426834177242008,36.0,34.0,11.981958677958282,12.994342906875543,59.73916291760732,70.5074399084319,46.112770666625394,441,251,32,158,VIH | Parotiditis | Coqueluche,46.72,10357,9981,376,3.63,6.14,6.17,5.43,1.39,1.89,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1097.12
13109,La Reina,103157,82209,19762,19.38,37.0,32.0,12.91,13.56,67.5,78.9,44.8,714,333,149,232,VIH | Parotiditis | Coqueluche,69.21,5004,4692,312,6.24,5.38,5.48,3.85,1.382,2.618,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",485.09
13125,Tiltil,205624,177098,27310,13.36,34.0,34.0,12.17,12.35,62.1,74.0,38.5,1592,769,270,553,VIH | Parotiditis | Coqueluche,77.42,1435,1360,75,5.23,6.31,6.4,4.75,1.348,3.345,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",69.79
13120,Ñuñoa,241467,239323,0,0.0,37.0,,15.7067,,77.3343,,38.3377,1735,830,255,650,VIH | Parotiditis | Coqueluche,71.8525,17291,15769,1522,8.8023,20.9672,21.2153,18.3968,1.3757,2.9611,H26 | K80 | K35,716.0813
13129,San Joaquín,95602,95039,0,0.0,38.0,,12.0399,,65.7219,,47.1774,767,372,161,234,VIH | Parotiditis | Coqueluche,80.2284,12206,11098,1108,9.0775,23.5948,23.4759,24.7852,1.5568,3.2525,H26 | K80 | K35,1276.7515
13203,San José de Maipo,17441,17303,0,0.0,39.0,,12.3072,,65.0779,,48.4593,92,51,11,30,VIH | Parotiditis | Coqueluche,52.7493,2844,2781,63,2.2152,18.8481,18.7666,22.4444,1.4132,1.4065,H26 | K80 | K35,1630.6404
13107,Huechuraba,101808,92790,8381,8.28,36.0,35.0,12.77,14.12,63.92,75.8,44.0,832,456,68,308,VIH | Parotiditis | Sifilis,81.72245796008173,6170,5743,427,6.92,6.09,6.22,4.27,1.37,3.42,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",606.0
13112,La Pintana,175421,166483,7732,4.44,34.0,32.0,10.01,11.47,55.71,67.68,49.0,1507,755,102,650,VIH | Parotiditis | Coqueluche,85.90761653393837,25556,24778,778,3.04,5.37,5.42,3.86,1.47,1.953,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1456.8
13502,Alhué,7768,6871,879,11.34,37.0,28.0,10.6,11.38,63.78,77.52,51.0,28,14,9,5,Chagas | VIH | Parotiditis,36.04531410916581,900,793,107,11.89,5.64,5.8,4.46,1.28,2.333,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1158.6
13504,María Pinto,15352,14996,319,2.08,38.0,31.0,10.6,11.46,61.08,69.2,52.0,32,24,4,4,VIH | Parotiditis | Chagas,20.844189682126107,1683,1630,53,3.15,4.78,4.83,3.11,1.2,1.664,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1096.3
13602,El Monte,37497,36404,915,2.45,36.0,34.0,10.9,12.53,60.75,69.14,50.0,146,93,18,35,VIH | Parotiditis | Sifilis,38.93644824919327,4114,4015,99,2.41,5.95,5.98,4.66,1.62,2.552,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1097.2
13116,Lo Espejo,87295,80266,6512,7.459762873016783,38.0,32.0,10.356598016781083,11.212395235994707,56.82800098970328,68.39474171449731,0.4976239084561409,678,366,72,240,"VIH, Parotiditis, Coqueluche",77.66767856120052,5269,4949,320,6.073258682862023,6.763142911368381,6.819357445948676,5.89375,1.626684380337825,2.770924274055798,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",603.5855432728106
13202,Pirque,29060,28398,442,1.5209910529938058,37.0,40.0,12.411691088282838,13.803814713896458,65.06849315068493,77.71587743732591,0.4813682010501096,136,76,8,52,"VIH, Parotiditis, Chagas",46.79972470750173,1731,1702,29,1.675332177931831,4.176776429809359,4.1574618096357225,5.310344827586207,1.4962449451184288,2.541883304448296,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59)",595.6641431520991
13603,Isla de Maipo,39274,37775,1332,3.391556755105159,37.0,31.0,11.147838050314466,12.256438969764838,59.30163973103693,72.28915662650603,0.475634040954349,115,67,11,37,"VIH, Parotiditis, Sifilis",29.28145847125325,2059,1989,70,3.3997085964060223,5.699854298203011,5.733534439416792,4.742857142857143,1.6192326372025254,1.6027197668771247,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",524.2654173244385
13110,La Florida,374836,335340,36685,9.786946824744687,38.0,34.0,12.846742116528745,13.96530903502031,65.99295673680061,78.78579385361378,46.80625237440616,2128,1539,342,247,VIH | Sifilis | Parotiditis,56.77149473369687,49846,46736,3110,6.239216787706135,6.002897539774099,6.132361800395881,4.133388566694284,1.4035218054774716,2.9992376519680617,H25.9 | K80.2 | Z51.1,1329.8082361352697
13104,Conchalí,121587,103271,17686,14.54596297301521,39.0,34.0,11.325066467264872,11.98365271802894,0.610039476045218,0.7510392919404586,0.4786029599542751,1134,635,188,311,VIH | Parotiditis | Sifilis,93.26654987786524,10561,9346,1215,0.1150459236814695,6.366631947732222,6.6164134389043445,4.445267489711934,1.429504781744153,0.0368336331786762,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",868.596149259378
13126,Quinta Normal,129351,92347,35630,27.545206453757604,38.0,32.0,11.942871863729332,12.615201049994036,0.6553346842396128,0.7811306727942419,0.4349533518964312,1361,572,431,358,VIH | Parotiditis | Sifilis,105.2175862575473,14588,11624,2964,0.2031806964628461,6.291952289553057,6.686682725395733,4.743927125506073,1.4528379489991774,0.0331779544831368,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1127.784091348347
13119,maipu,500600,469627,30973,6.19,38.0,34.0,12.64,12.98,62.55,73.51,43.27,3316,1827,267,1222,VIH | Parotiditis | Coqueluche,66.24,62614,58932,3682,5.88,7.02,7.16,4.68,1.64,3.49,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99)",1250.78
13108,Independencia,116943,64272,51908,44.38743661441899,36.0,33.0,12.854490256989552,12.936710529785609,67.16144308373858,80.3780623734674,39.83546377452797,1642,607,786,0,Dato Faltante,156.38095238095238,10573,0,0,0.0,6.467889908256881,0.0,0.0,0.0,2.8563321668400645,Dato Faltante,1006.952380952381
13127,Recoleta,154615,118968,34009,21.995925362998413,39.0,34.0,11.617627309021207,11.922531585409324,62.59941041598428,76.9302133800639,45.127983705191625,1978,964,501,0,Dato Faltante,104.10526315789474,13435,0,0,0.0,6.3290658727205065,0.0,0.0,0.0,2.97729810197246,Dato Faltante,707.1052631578947
13505,San Pedro,11108,9808,1260,11.343176089305006,40.0,29.0,9.734945120142392,9.659767141009056,60.40290620871862,75.82417582417582,56.82620358605111,731,19,19,0,Dato Faltante,609.1666666666666,1355,0,0,0.0,4.900369003690037,0.0,0.0,0.0,1.5498154981549817,Dato Faltante,1129.1666666666667
13604,Padre Hurtado,81243,75497,5296,6.518715458562584,34.0,33.0,12.115747903265206,13.170451509484373,65.16893340088072,73.95402298850576,45.12084025507743,337,206,44,0,Dato Faltante,51.84615384615385,4764,0,0,0.0,6.111880772460117,0.0,0.0,0.0,1.910159529806885,Dato Faltante,732.923076923077
13201,Puente Alto,564477,534717,29760,5.27213686297227,35.0,34.0,12.119722180162295,12.678511471740348,62.39990267376788,71.87045711516717,43.03022063100012,4334,2527,280,1527,VIH | Parotiditis | Coqueluche,76.77903616976423,39492,38156,1336,3.382963638205206,4.784390194489466,4.790312434472636,4.615269461077844,1.51016687346484,2.248556669705257,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),699.6210651629739
13301,Colina,173293,149378,22498,13.09,33.0,35.0,12.61,12.78,59.95,70.0,45.82,1259,576,174,509,Parotiditis | VIH | Sifilis,72.65,14742,12697,2045,13.87,5.88,6.06,4.72,1.41,2.04,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",850.7
13501,Melipilla,136325,124407,11069,8.17,37.0,30.0,11.07,11.26,58.93,74.38,50.48,824,387,245,192,VIH | Chagas | Parotiditis,60.44,29404,26882,2522,8.58,4.98,5.09,3.89,1.23,2.23,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",2156.9
13601,Talagante,76429,71322,4559,6.01,36.0,32.0,11.83,12.26,59.75,69.74,46.76,314,186,32,96,VIH | Parotiditis | Chagas,41.08,12342,11754,588,4.76,6.46,6.53,5.09,1.63,2.6,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1614.83
13115,Lo Barnechea,112620,98589,12198,10.831113478955782,34.0,42.0,14.86880298182538,15.031678750697155,63.15209016331526,73.11209287989314,45.969696576931554,630,278,42,310,Parotiditis | Coqueluche | VIH,55.94,6883,6204,679,9.86,5.166742081447964,5.2396094141211815,4.483568075117371,1.4259770448932152,1.7724829289553898,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",611.1703072278458
13128,Renca,143622,130218,12523,8.71941624542201,35.0,33.0,10.895059920574488,12.027873787490243,61.2766105307049,72.134724857685,47.257794957500685,1064,590,113,361,VIH | Parotiditis | Coqueluche,74.08,25748,24002,1746,6.78,6.392185065324224,6.495590034120904,4.999132697311362,1.4646962870902591,3.0681994718036303,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1792.7615546364764
13402,Buin,116969,110229,5960,5.0953671485607295,34.0,34.0,12.185436165190104,13.374942209893666,63.13281795243464,72.90721649484536,46.35211390963802,551,251,34,266,Parotiditis | VIH | Coqueluche,47.11,15457,14669,788,5.1,5.576291079812207,5.603302373581012,5.086142322097379,1.488645920941968,2.95658924759008,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1321.4612418675033
13102,Cerrillos,85041,71466,12732,15.0,36.0,34.0,11.725,11.439,60.8,69.5,0.463,642,297,101,244,VIH | Parotiditis | Sifilis,75.49,7623,6681,942,12.36,7.39,7.71,5.11,1.7,3.27,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),896.39
13302,Lampa,145160,125486,18608,12.8,32.0,33.0,12.165,12.308,64.7,72.7,0.446,672,390,93,189,VIH | Parotiditis | Sifilis,46.29,8057,6984,1073,13.32,5.99,6.23,4.47,1.42,2.02,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99),555.04
13123,Providencia,143974,126841,17133,11.900065289566172,38.0,39.0,16.475442306700366,16.3480222801946,76.79002413515687,81.55087719298245,38.77547086152719,1455,1001,239,215,VIH | Sifilis | Parotiditis,92.24,10505,9451,1054,10.03,5.85,5.92,5.19,1.43,2.93,Catarata | no especificada | Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada,665.93
13130,San Miguel,150829,110161,40668,26.96298457193245,36.0,33.0,14.316605873963471,14.617748478701824,73.22180107175532,80.63946880421128,37.18711343956924,1249,587,330,332,VIH | Parotiditis | Sifilis,115.7,13853,11077,2776,20.04,6.37,6.74,4.91,1.59,3.35,Catarata | no especificada | Apendicitis aguda | otra y no especificada | Fractura del cuello de fémur | cerrada,1283.23
13404,Paine,78828,72865,5963,7.564570964631858,36.0,31.0,11.101812763844052,11.780655828051804,60.77520654363106,67.07342730906795,47.58757559304263,390,185,74,131,VIH | Parotiditis | Coqueluche,53.6,11428,10437,991,8.67,5.57,5.66,4.65,1.46,3.01,Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada | Catarata | no especificada,1570.66
13114,LAS CONDES,292739,261670,31069,10.61320835283307,38.0,40.0,15.967253020040872,16.103877582485353,69.12262491710636,80.11684364267951,47.11981103628505,2123,970,231,922,VIH | Parotiditis | Sifilis,72.5219,10656,9651,1005,9.43,5.92,6.13,3.79,1.43,2.93,Cap.02  NEOPLASIAS (C00-D49) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95),359.84
13503,CURACAVÍ,34977,33517,1460,4.174171598479,38.0,35.0,11.494169857292029,13.097132284921368,60.37599093997736,70.32312925170068,50.32233109850438,165,107,14,44,VIH | Sifilis | Parotiditis,47.1739,5216,5064,152,2.91,6.49,6.54,4.82,1.4,2.93,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1483.29
5101,Valparaíso,284938,272618,12320,4.32,36.8,30.1,11.4,11.9,53.9,63.2,46.98,4821,4312,421,88,Sífilis | VIH | Tuberculosis,169.19,24180,22541,1639,6.78,5.6,5.7,4.9,1.92,2.84,Embarazo y parto | Enfermedades circulatorias | Enfermedades digestivas,848.61
5102,Casablanca,29876,27607,2269,7.59,34.5,28.7,10.8,10.3,56.4,71.8,44.21,312,278,29,5,Sífilis | Coqueluche | VIH,104.43,2134,1963,171,8.01,4.8,4.9,4.1,1.78,2.15,Embarazo y parto | Enfermedades digestivas | Enfermedades respiratorias,714.29
13117,Lo Prado,91290,78678,12110,13.265417899003175,41.0,34.0,11.056758411989335,12.004300101844516,0.6259051783030468,0.7541796267496111,0.4754654771140419,591,442,149,0,"VIH, Sifilis, Parotiditis",64.73874465987512,6169,5596,573,9.288377370724591,5.955584373480304,6.083631165117941,4.705061082024433,1.383803959753327,3.0637056248986867,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",675.7585715850587
13124,Pudahuel,227820,210831,15344,6.735141778597138,37.0,33.0,11.692555272734923,12.441821869813756,0.6193857649094855,0.7385826771653543,0.4286430963340147,1051,882,169,0,"VIH, Sifilis, Parotiditis",46.13291194802915,10910,10189,721,6.608615948670944,6.026122823098075,6.160761605653155,4.123439667128988,1.483220245736292,2.722273143904675,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",478.8868404881046
13101,Santiago,5806,258429,176956,3047.8126076472613,35.0,34.0,14.421517757972174,13.80532818251394,72.65863243384857,83.34047804624578,26.21068282540111,12186,5059,3635,3492,VIH | Parotiditis | Sifilis,20988.63244919049,54929,35664,19265,35.072548198583625,6.682745162708883,7.682128988688165,4.817207689883391,1.6154854448469842,2.799978153616487,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",94607.302790217
